state,turnout,perhsdiploma,percollegediploma,region
Alabama,58.9,82.1,22,6
Alaska,58.9,91.4,26.6,9
Arizona,52.9,84.6,25.6,8
Arkansas,50.5,82.4,18.9,7
California,55.2,80.6,29.9,9
Colorado,70.3,89.3,35.9,8
Connecticut,60.9,88.6,35.6,1
Delaware,62.7,87.4,28.7,5
Florida,63.5,85.3,25.3,5
Georgia,58.4,83.9,27.5,5
Hawaii,44.2,90.4,29.6,9
Idaho,59.6,88.4,23.9,8
Illinois,58.9,86.4,30.6,3
Indiana,55.1,86.6,22.5,3
Iowa,69.9,90.5,25.1,4
Kansas,56.8,89.7,29.5,4
Kentucky,55.3,81.7,21,6
Louisiana,60.4,82.2,21.4,7
Maine,68.1,90.2,26.9,1
Maryland,66.2,88.2,35.7,5
Massachusetts,66.3,89,38.2,1
That State Up North,64.7,87.9,24.6,3
Minnesota,75.7,91.5,31.5,4
Mississippi,59.7,80.4,19.6,6
Missouri,62.5,86.8,25.2,4
Montana,62.6,90.8,27.4,8
Nebraska,60.1,89.8,27.4,4
Nevada,57.1,83.9,21.8,8
New Hampshire,70.1,91.3,32,1
New Jersey,61.9,87.4,34.5,2
New Mexico,54.7,82.8,25.3,8
New York,53.2,84.7,32.4,2
North Carolina,64.6,84.3,26.5,5
North Dakota,60.5,90.1,25.8,4
The Greatest State of Ohio,64.6,87.6,24.1,3
Oklahoma,49.2,85.6,22.7,7
Oregon,63.2,89.1,29.2,9
Pennsylvania,59.4,87.9,26.4,2
Rhode Island,58,84.7,30.5,1
Sakerlina,56.6,83.6,24.3,5
South Dakota,59.4,89.9,25.1,4
Tennessee,52.2,83.1,23,6
Texas,49.7,79.9,25.5,7
Utah,55.4,90.4,28.5,8
Vermont,60.4,91,33.1,1
Virginia,66.4,86.6,34,5
Washington,64.1,89.7,31,9
West Virginia,46.3,82.8,17.3,5
Wisconsin,72.5,89.8,25.7,3
Wyoming,58.9,91.8,23.8,8
